,Image Name,Acc,F1,Jaccard,Recall,Precision
0,ISIC2018_Training\ISIC_0014600.jpg,0.9878228635204082,0.8812439261418854,0.7876997915218902,0.9973603167619886,0.7893454038997214
1,ISIC2018_Training\ISIC_0000115.jpg,0.9700454400510204,0.929080356721559,0.8675537539654564,0.9086294416243654,0.9504730642981271
2,ISIC2018_Training\ISIC_0014410.jpg,0.9808474170918368,0.8428454619787408,0.7283776144714528,0.7919483712354026,0.9007340090877316
3,ISIC2018_Training\ISIC_0012338.jpg,0.9953364158163265,0.9386792452830188,0.8844444444444445,0.9922437673130194,0.8906016907011437
4,ISIC2018_Training\ISIC_0010061.jpg,0.9916294642857143,0.9531563685032344,0.9105050074579161,0.9877484974572354,0.9209051724137931
5,ISIC2018_Training\ISIC_0014823.jpg,0.9923070790816326,0.9540147724565167,0.9120728929384966,0.9574366331898613,0.9506172839506173
6,ISIC2018_Training\ISIC_0014077.jpg,0.8521006058673469,0.7350872809052941,0.5811367613027036,0.5874365265019684,0.9818806027083731
7,ISIC2018_Training\ISIC_0014707.jpg,0.9838767538265306,0.927267823428931,0.8643982567884679,0.9944080215966062,0.8686205154118242
8,ISIC2018_Training\ISIC_0014586.jpg,0.981086575255102,0.9568577533299996,0.9172840582236556,0.9418292464650081,0.9723736487110782
9,ISIC2018_Training\ISIC_0015243.jpg,0.8573022959183674,0.8820195096229897,0.7889399834925127,0.8070683312224836,0.9723170820315338
10,ISIC2018_Training\ISIC_0013034.jpg,0.9773198341836735,0.8623941958887544,0.7580782312925171,0.9489089941458222,0.7903368794326241
11,ISIC2018_Training\ISIC_0015485.jpg,0.9752670599489796,0.979830648962278,0.9604588179066433,0.9723870967741935,0.9873890399292476
12,ISIC2018_Training\ISIC_0014458.jpg,0.9917091836734694,0.8661518661518661,0.7639046538024972,1.0,0.7639046538024972
13,ISIC2018_Training\ISIC_0013674.jpg,0.9422433035714286,0.8470389528132588,0.7346639809558689,0.7356743375813698,0.9981340962806319
14,ISIC2018_Training\ISIC_0014955.jpg,0.9878029336734694,0.9489914985830972,0.902934179222839,0.935733070348455,0.9626310449780182
15,ISIC2018_Training\ISIC_0000549.jpg,0.9226522640306123,0.9272853315346712,0.8644286862053306,0.9317368876840243,0.92287610949504
16,ISIC2018_Training\ISIC_0013213.jpg,0.9785953443877551,0.8239344262295082,0.7005854474491219,0.920850128252107,0.7454761198457431
17,ISIC2018_Training\ISIC_0014136.jpg,0.9761041135204082,0.8275564504530418,0.7058390578999019,1.0,0.7058390578999019
18,ISIC2018_Training\ISIC_0015476.jpg,0.9765425701530612,0.9419997043315429,0.8903586399627387,0.8979706877113867,0.9905689708778112
19,ISIC2018_Training\ISIC_0000320.jpg,0.9780173788265306,0.9692457827965983,0.9403267690975979,0.9638975155279503,0.974653731845455
20,ISIC2018_Training\ISIC_0007760.jpg,0.9866470025510204,0.9173451764125339,0.8473108477666362,1.0,0.8473108477666362
21,ISIC2018_Training\ISIC_0010073.jpg,0.9352678571428571,0.8787878787878789,0.7837837837837838,0.8088760648529816,0.9619281045751634
22,ISIC2018_Training\ISIC_0010595.jpg,0.9578683035714286,0.94935556513823,0.9035935789857716,0.986802131580258,0.9146470941236209
23,ISIC2018_Training\ISIC_0013995.jpg,0.9815449617346939,0.8260052611800075,0.7035851472471191,0.9995452478399273,0.7038104386807557
24,ISIC2018_Training\ISIC_0014273.jpg,0.972297512755102,0.8918960958158344,0.8048848961257721,0.9987807002264414,0.8056765491077701
25,ISIC2018_Training\ISIC_0000046.jpg,0.9505141900510204,0.9384619197501797,0.8840586477400074,0.9963163710993002,0.8869577438395952
26,ISIC2018_Training\ISIC_0000376.jpg,0.9685108418367347,0.9287646528403967,0.867003367003367,0.8866316604975467,0.9751017703303986
27,ISIC2018_Training\ISIC_0015293.jpg,0.9832589285714286,0.9254128929142248,0.8611799702528508,0.9014011416709912,0.9507389162561576
28,ISIC2018_Training\ISIC_0013134.jpg,0.9747488839285714,0.7454289732770746,0.594170403587444,1.0,0.594170403587444
29,ISIC2018_Training\ISIC_0012670.jpg,0.9884406887755102,0.8279952550415183,0.7064777327935222,1.0,0.7064777327935222
30,ISIC2018_Training\ISIC_0000099.jpg,0.9134646045918368,0.8807797913234486,0.7869584416858839,0.8033961130034061,0.9746596985901799
31,ISIC2018_Training\ISIC_0015638.jpg,0.9738919005102041,0.9402481299033023,0.8872342257037101,0.9574547143520669,0.9236490724975356
32,ISIC2018_Training\ISIC_0015130.jpg,0.9660395408163265,0.9499147610369761,0.9046072888092705,0.9998762452818514,0.9047085829460837
33,ISIC2018_Training\ISIC_0014832.jpg,0.9696468431122449,0.9459065885277925,0.8973650515533391,0.9989497374343586,0.898212478920742
34,ISIC2018_Training\ISIC_0016025.jpg,0.9358258928571429,0.834020618556701,0.7152961980548187,0.7152961980548187,1.0
35,ISIC2018_Training\ISIC_0012902.jpg,0.9338528380102041,0.7387642660369933,0.585746380429356,0.5858194981899888,0.9997869620792501
36,ISIC2018_Training\ISIC_0010216.jpg,0.9789939413265306,0.9161762366788612,0.8453184619900206,0.9974025974025974,0.8471834093249008
37,ISIC2018_Training\ISIC_0012988.jpg,0.9956752232142857,0.9292929292929293,0.8679245283018868,1.0,0.8679245283018868
38,ISIC2018_Training\ISIC_0013200.jpg,0.9975685586734694,0.9689251146204789,0.9397233201581028,0.971895758814512,0.9659725749111224
39,ISIC2018_Training\ISIC_0014957.jpg,0.9655811543367347,0.9497161158829523,0.9042470614326902,0.9337035552756627,0.9662874748192913
40,ISIC2018_Training\ISIC_0012708.jpg,0.9849330357142857,0.8957528957528959,0.8111888111888111,0.9969306322897483,0.8132198297446169
41,ISIC2018_Training\ISIC_0014846.jpg,0.9731345663265306,0.9752778490995121,0.9517485771557432,0.9714651077822434,0.9791206363234645
42,ISIC2018_Training\ISIC_0014936.jpg,0.9769013073979592,0.9427060161154778,0.8916214699831682,0.9274389650812178,0.9584841174105347
43,ISIC2018_Training\ISIC_0009533.jpg,0.9716597576530612,0.8114058355437666,0.682660120508815,1.0,0.682660120508815
44,ISIC2018_Training\ISIC_0009800.jpg,0.9831592793367347,0.8584352487853913,0.7519812151452892,0.935036496350365,0.7934344998451534
45,ISIC2018_Training\ISIC_0013378.jpg,0.99609375,0.9366515837104071,0.8808510638297873,0.8829981718464351,0.9972470750172058
46,ISIC2018_Training\ISIC_0013967.jpg,0.9952367665816326,0.9625098039215686,0.9277290595706078,0.9388004895960832,0.9874476987447699
47,ISIC2018_Training\ISIC_0000244.jpg,0.9107541454081632,0.864745680802223,0.7617197892832438,1.0,0.7617197892832438
48,ISIC2018_Training\ISIC_0012721.jpg,0.9739716198979592,0.9019813869708796,0.8214627477785372,0.997344398340249,0.8232634607480477
49,ISIC2018_Training\ISIC_0013685.jpg,0.9043367346938775,0.8814580657907733,0.7880420383290647,0.8160036579789666,0.9583288583395984
50,ISIC2018_Training\ISIC_0013275.jpg,0.9959941007653061,0.8903436988543372,0.8023598820058997,0.9987760097919217,0.8031496062992126
51,ISIC2018_Training\ISIC_0013783.jpg,0.8653340242346939,0.7614474845542807,0.614788210478308,0.614788210478308,1.0
52,ISIC2018_Training\ISIC_0000113.jpg,0.9648038903061225,0.8920141861318331,0.8050772626931567,0.8056107797658494,0.9991780821917808
53,ISIC2018_Training\ISIC_0015233.jpg,0.9582469706632653,0.9095540301342658,0.8341119645260907,0.8432596861991675,0.9871614656545779
54,ISIC2018_Training\ISIC_0013891.jpg,0.998405612244898,0.9252336448598131,0.8608695652173913,0.8855098389982111,0.9686888454011742
55,ISIC2018_Training\ISIC_0014768.jpg,0.9640266262755102,0.859215349816707,0.7531792697935183,0.9321374174987308,0.796875
56,ISIC2018_Training\ISIC_0010194.jpg,0.7282166772959183,0.6171425362868133,0.4462806561637161,0.9868019393068773,0.44896041828356686
57,ISIC2018_Training\ISIC_0000495.jpg,0.9799705038265306,0.9536716913290002,0.9114459423737774,0.9944241492020766,0.916127889469489
58,ISIC2018_Training\ISIC_0012664.jpg,0.9899154974489796,0.9334035272440115,0.8751233958538993,0.9938340807174888,0.8799007444168735
59,ISIC2018_Training\ISIC_0001367.jpg,0.9936423788265306,0.9502262443438914,0.9051724137931034,0.965440710209258,0.9354838709677419
60,ISIC2018_Training\ISIC_0014219.jpg,0.944694674744898,0.8334833483348334,0.7145061728395061,0.7485449450312567,0.9401651550020306
61,ISIC2018_Training\ISIC_0012316.jpg,0.9969507334183674,0.9219785823559408,0.8552507095553453,1.0,0.8552507095553453
62,ISIC2018_Training\ISIC_0014818.jpg,0.9621532206632653,0.9603706254304138,0.9237624954835602,0.9974424552429667,0.9259557344064386
63,ISIC2018_Training\ISIC_0015018.jpg,0.9733139349489796,0.9159500345238842,0.8449334105385061,0.8470916057122954,0.9969937141295436
64,ISIC2018_Training\ISIC_0015998.jpg,0.9970503826530612,0.9452257586972612,0.896140350877193,0.9050318922749823,0.9891556932610379
65,ISIC2018_Training\ISIC_0001299.jpg,0.9886997767857143,0.9145955716222323,0.8426311407160699,0.9724535554131967,0.8632357122547626
66,ISIC2018_Training\ISIC_0012678.jpg,0.9848931760204082,0.8973456121343445,0.8138049619258167,0.9996982498491249,0.814004914004914
67,ISIC2018_Training\ISIC_0012400.jpg,0.9886001275510204,0.9569277108433736,0.9174126479930695,0.9282688093498904,0.9874125874125874
68,ISIC2018_Training\ISIC_0012108.jpg,0.9902144451530612,0.9237696009936346,0.858338141950375,0.9966499162479062,0.8608217592592593
69,ISIC2018_Training\ISIC_0010206.jpg,0.9942801339285714,0.9688888888888889,0.9396551724137931,0.9776854080070007,0.9602492479587451
70,ISIC2018_Training\ISIC_0000319.jpg,0.9905532525510204,0.9702223897474557,0.9421669106881405,0.9860809602860426,0.9548658340546556
71,ISIC2018_Training\ISIC_0010382.jpg,0.9506536989795918,0.9708596177384428,0.9433694707469924,0.9745067926757236,0.967239640738222
72,ISIC2018_Training\ISIC_0000511.jpg,0.9081632653061225,0.9161907533374559,0.8453431783856352,0.9946293883031236,0.8492194612090765
73,ISIC2018_Training\ISIC_0000426.jpg,0.9595025510204082,0.9640544843445956,0.9306034629964823,0.9684401322102569,0.9597083788257669
74,ISIC2018_Training\ISIC_0013910.jpg,0.9943399234693877,0.8497354497354497,0.7387304507819688,0.9114642451759364,0.7958374628344896
75,ISIC2018_Training\ISIC_0013403.jpg,0.9940011160714286,0.9254766031195841,0.8612903225806452,1.0,0.8612903225806452
76,ISIC2018_Training\ISIC_0015984.jpg,0.8150310905612245,0.44600966990986685,0.287009295536606,0.7269896867094765,0.3216807301532633
77,ISIC2018_Training\ISIC_0014966.jpg,0.9422233737244898,0.9156212707745146,0.8443740605540048,0.8546511627906976,0.9859587538394032
78,ISIC2018_Training\ISIC_0012320.jpg,0.9858896683673469,0.8550961932050758,0.7468716481944941,1.0,0.7468716481944941
79,ISIC2018_Training\ISIC_0012481.jpg,0.9991430165816326,0.9433465085638998,0.8927680798004988,0.9496021220159151,0.93717277486911
80,ISIC2018_Training\ISIC_0014069.jpg,0.9651626275510204,0.7223634053367218,0.56539035305818,0.9660152931180969,0.5768645357686454
81,ISIC2018_Training\ISIC_0016065.jpg,0.9977877869897959,0.9083402146985963,0.8320726172465961,0.9981851179673321,0.8333333333333334
82,ISIC2018_Training\ISIC_0000185.jpg,0.9734135841836735,0.9542304261305153,0.9124671916010498,0.9999280937657294,0.9125270687052957
83,ISIC2018_Training\ISIC_0000171.jpg,0.9770408163265306,0.9715302491103202,0.9446366782006921,0.9566360052562418,0.9868956168097605
84,ISIC2018_Training\ISIC_0016012.jpg,0.9881417410714286,0.822016153155848,0.6978161503301168,1.0,0.6978161503301168
85,ISIC2018_Training\ISIC_0012944.jpg,0.9764429209183674,0.8539659006671608,0.7451487710219923,0.9991326973113617,0.7456310679611651
86,ISIC2018_Training\ISIC_0015216.jpg,0.9612563775510204,0.977510932185743,0.9560111329848618,0.9630060175054704,0.9924594785059901
87,ISIC2018_Training\ISIC_0000336.jpg,0.9864477040816326,0.9480440097799511,0.9012202208018594,0.9102112676056338,0.9891581632653061
88,ISIC2018_Training\ISIC_0000051.jpg,0.953483737244898,0.9245441613862667,0.8596765466241808,0.9977670783615937,0.8613336545991205
