epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.455396831035614,0.29848289489746094,0.4902145266532898,1e-04,0.5026465058326721,0.8244755268096924,0.5138717889785767,0.3482402563095093,0.7425364255905151,0.48705893754959106,0.9228304028511047
1,0.6167950630187988,0.4473888576030731,0.2743573486804962,1e-04,0.8487440943717957,0.9227310419082642,0.5471820831298828,0.3794463276863098,0.4069172441959381,0.7942137122154236,0.7078042030334473
2,0.6944794058799744,0.5332922339439392,0.19871462881565094,1e-04,0.9069288372993469,0.9321115612983704,0.6380939483642578,0.4709566831588745,0.3283234238624573,0.8062883615493774,0.8079759478569031
3,0.7464950680732727,0.5967660546302795,0.1553354561328888,1e-04,0.9297906756401062,0.9345859289169312,0.7132960557937622,0.5567832589149475,0.25183558464050293,0.8372999429702759,0.876221776008606
4,0.7847501039505005,0.6468795537948608,0.12759451568126678,1e-04,0.9407621026039124,0.9401146769523621,0.7468569278717041,0.5979049205780029,0.20175372064113617,0.8827343583106995,0.8764513731002808
5,0.8148105144500732,0.6884987354278564,0.10744211077690125,1e-04,0.948747456073761,0.9445553421974182,0.7565038204193115,0.6119682788848877,0.17346106469631195,0.9195000529289246,0.8629244565963745
6,0.8399187922477722,0.7249266505241394,0.09086907655000687,1e-04,0.9559555649757385,0.9509100914001465,0.7800004482269287,0.6428172588348389,0.15584418177604675,0.9438449740409851,0.852940559387207
7,0.8585745096206665,0.7530210614204407,0.08003245294094086,1e-04,0.9594610929489136,0.9538125991821289,0.8014451265335083,0.672569990158081,0.1489809900522232,0.9206724762916565,0.8846701383590698
8,0.872581958770752,0.7747213840484619,0.07242099940776825,1e-04,0.9611591100692749,0.9551310539245605,0.8028849959373474,0.6758212447166443,0.15142656862735748,0.9277847409248352,0.8675495386123657
9,0.8839738965034485,0.7926729917526245,0.0662740021944046,1e-04,0.9622607827186584,0.9565278887748718,0.8245737552642822,0.7059690952301025,0.13979719579219818,0.929772675037384,0.8819983005523682
10,0.8934367895126343,0.8079202771186829,0.06089123710989952,1e-04,0.9642137885093689,0.9578334093093872,0.8326774835586548,0.7180408835411072,0.14066794514656067,0.9124088883399963,0.9000588655471802
11,0.9024508595466614,0.8226791620254517,0.056026265025138855,1e-04,0.9664003849029541,0.9595537185668945,0.8362317085266113,0.7240927219390869,0.13891494274139404,0.9233132004737854,0.8897389769554138
12,0.911131739616394,0.8371391296386719,0.05091997608542442,1e-04,0.9687696695327759,0.9623866081237793,0.8461925983428955,0.7375779151916504,0.13760188221931458,0.9090840816497803,0.9056503176689148
13,0.917871356010437,0.8485297560691833,0.047376107424497604,1e-04,0.9698230028152466,0.9641733169555664,0.8457697033882141,0.7380421161651611,0.13740403950214386,0.9244220852851868,0.8893904685974121
14,0.9231145977973938,0.8575097918510437,0.04492030292749405,1e-04,0.9706174731254578,0.9654186964035034,0.8438757658004761,0.7357369065284729,0.15259228646755219,0.9103782176971436,0.8895290493965149
15,0.9267896413803101,0.8638249039649963,0.04314344376325607,1e-04,0.9707809686660767,0.9653152227401733,0.8441023826599121,0.7361230850219727,0.15353693068027496,0.9089764952659607,0.8874001502990723
16,0.9303528666496277,0.8699871897697449,0.04160940647125244,1e-04,0.9724101424217224,0.9647063612937927,0.8608351945877075,0.7589890956878662,0.15191291272640228,0.8868314027786255,0.9179043173789978
17,0.9317025542259216,0.8723374605178833,0.04134707525372505,1e-04,0.9701666831970215,0.9650896191596985,0.8586478233337402,0.7575064897537231,0.14357325434684753,0.9108985662460327,0.8998146653175354
18,0.934016227722168,0.8763717412948608,0.039989620447158813,1e-04,0.9692211151123047,0.9665824770927429,0.8563629388809204,0.7544267177581787,0.15384997427463531,0.9276354908943176,0.8767918348312378
19,0.9377083778381348,0.8828744888305664,0.03770802170038223,1e-05,0.9723256826400757,0.9681191444396973,0.8645843267440796,0.7662665843963623,0.13849622011184692,0.9304258823394775,0.8866620659828186
20,0.941311240196228,0.8892592191696167,0.033913131803274155,1e-05,0.9758918881416321,0.9721667170524597,0.8648321628570557,0.7665243744850159,0.13762995600700378,0.933285117149353,0.8843885064125061
21,0.9425800442695618,0.8915238976478577,0.033209096640348434,1e-05,0.9762734174728394,0.9729049801826477,0.8639938235282898,0.7654468417167664,0.13881215453147888,0.9359351396560669,0.880923330783844
22,0.943979799747467,0.8940308690071106,0.032207321375608444,1e-05,0.9775128960609436,0.9736641049385071,0.864299476146698,0.765887975692749,0.13983575999736786,0.9355402588844299,0.8811768889427185
23,0.9449875354766846,0.8958489894866943,0.03173588961362839,1e-05,0.977946400642395,0.9743227958679199,0.8644647002220154,0.7663457989692688,0.14060309529304504,0.935249924659729,0.8815909624099731
24,0.9457301497459412,0.8971713781356812,0.03090222366154194,1e-06,0.9833542108535767,0.970003604888916,0.8644287586212158,0.766491711139679,0.14108912646770477,0.9338693618774414,0.8830858469009399
25,0.9460011720657349,0.8976576924324036,0.03074543923139572,1e-06,0.9812881350517273,0.9727250933647156,0.8646804094314575,0.766926109790802,0.14141730964183807,0.9327874183654785,0.884351372718811
26,0.9463038444519043,0.898204505443573,0.03055836819112301,1e-06,0.9803596138954163,0.9741992950439453,0.8647565841674805,0.767100989818573,0.14174000918865204,0.932317316532135,0.8849030137062073
