epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.5799670219421387,0.41354793310165405,0.31429606676101685,1e-04,0.7455161213874817,0.6631315350532532,0.25630220770835876,0.14722107350826263,0.5306051969528198,0.994332492351532,0.04278462380170822
1,0.6931020617485046,0.5325199961662292,0.21211959421634674,1e-04,0.8556804060935974,0.7572033405303955,0.38038092851638794,0.2385319024324417,0.5135833621025085,0.9209187030792236,0.2395641803741455
2,0.7328175902366638,0.580457866191864,0.18305045366287231,1e-04,0.8734067678451538,0.7936528325080872,0.7086259722709656,0.5534399151802063,0.23439449071884155,0.8682383894920349,0.7245773077011108
3,0.7555124163627625,0.6092220544815063,0.16718757152557373,1e-04,0.8798257112503052,0.8144481778144836,0.7582582831382751,0.6130624413490295,0.18662990629673004,0.8390905261039734,0.8500216007232666
4,0.7721220850944519,0.6308882832527161,0.1563052386045456,1e-04,0.8878720998764038,0.8275132179260254,0.7803133726119995,0.6428561806678772,0.16795678436756134,0.866631805896759,0.8439362645149231
5,0.7842559218406677,0.6470815539360046,0.1474204808473587,1e-04,0.8907413482666016,0.8374999165534973,0.7780182957649231,0.6398760676383972,0.17910237610340118,0.8285664319992065,0.8692542910575867
6,0.7921068668365479,0.6578677892684937,0.14201223850250244,1e-04,0.8930894136428833,0.8439368009567261,0.7982677817344666,0.6669407486915588,0.16100449860095978,0.8820133209228516,0.8494756817817688
7,0.8008481860160828,0.6698470115661621,0.13607218861579895,1e-04,0.8978227376937866,0.8480846285820007,0.7833774089813232,0.6479451656341553,0.17648537456989288,0.921942412853241,0.7922368049621582
8,0.8130165934562683,0.6867336630821228,0.12774425745010376,1e-04,0.9057793021202087,0.8572309017181396,0.7745251655578613,0.6363295912742615,0.18189188838005066,0.931503176689148,0.77825927734375
9,0.8204023838043213,0.697253942489624,0.12274935841560364,1e-04,0.908455491065979,0.8622998595237732,0.7951929569244385,0.6636641621589661,0.16577595472335815,0.9113198518753052,0.8209008574485779
10,0.8308489322662354,0.7121497988700867,0.11531764268875122,1e-04,0.9131903052330017,0.8711193203926086,0.8027860522270203,0.6739803552627563,0.15523719787597656,0.9319655299186707,0.816559374332428
11,0.8391212224960327,0.7241982817649841,0.11004431545734406,1e-04,0.9174540042877197,0.877151370048523,0.7865219712257385,0.6538153290748596,0.1824459284543991,0.9536603689193726,0.7582484483718872
12,0.8409780263900757,0.7269312143325806,0.10870551317930222,1e-04,0.9187895655632019,0.8765920400619507,0.8218241333961487,0.6996934413909912,0.14565791189670563,0.9160739183425903,0.8473497033119202
13,0.8489159345626831,0.7389500141143799,0.10326170176267624,1e-04,0.9211514592170715,0.884630024433136,0.8203525543212891,0.6983294486999512,0.1556876301765442,0.9128240942955017,0.8355447053909302
14,0.8571409583091736,0.7510989308357239,0.09815014898777008,1e-04,0.9256507754325867,0.891831636428833,0.7982683777809143,0.667391300201416,0.16932839155197144,0.9452852010726929,0.7828940153121948
