epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.5436927676200867,0.37873655557632446,0.3209433853626251,1e-04,0.7171159982681274,0.639909029006958,0.3699985444545746,0.23011621832847595,3.0522000789642334,0.22181899845600128,0.990013837814331
1,0.6794497966766357,0.5164704322814941,0.20022249221801758,1e-04,0.8639845252037048,0.7548078894615173,0.41665586829185486,0.2646096646785736,0.37085962295532227,0.8874862194061279,0.3659445643424988
2,0.7255252003669739,0.5709421634674072,0.16940532624721527,1e-04,0.8827023506164551,0.7936288714408875,0.5729504227638245,0.40473756194114685,0.2883790135383606,0.8725271224975586,0.574461817741394
3,0.7552988529205322,0.6084495186805725,0.14906960725784302,1e-04,0.8951334357261658,0.8190861344337463,0.6726730465888977,0.5096234679222107,0.2124188095331192,0.9041487574577332,0.6898729205131531
4,0.7740364670753479,0.6330081224441528,0.13703344762325287,1e-04,0.8996479511260986,0.8338978886604309,0.7370439767837524,0.5857868194580078,0.16265413165092468,0.8990280628204346,0.790153980255127
5,0.7891906499862671,0.6533503532409668,0.12752757966518402,1e-04,0.9058186411857605,0.8462269306182861,0.7703085541725159,0.6283578276634216,0.142206072807312,0.8929389119148254,0.83868408203125
6,0.8009918928146362,0.6694848537445068,0.12044331431388855,1e-04,0.9097893238067627,0.8550524711608887,0.798454225063324,0.6662634015083313,0.13186228275299072,0.8869994282722473,0.85567307472229
7,0.8110573291778564,0.6835160851478577,0.11429162323474884,1e-04,0.9116488099098206,0.862414538860321,0.7809061408042908,0.6424106955528259,0.16496910154819489,0.8204067349433899,0.8952587246894836
8,0.8196553587913513,0.6956824064254761,0.10919566452503204,1e-04,0.9165813326835632,0.8675777912139893,0.7905796766281128,0.6558939218521118,0.16048532724380493,0.8209822177886963,0.9045406579971313
9,0.8299642205238342,0.7106153964996338,0.10291237384080887,1e-04,0.9188097715377808,0.8776959776878357,0.7988653182983398,0.6675320267677307,0.15139023959636688,0.8327591419219971,0.9061011075973511
10,0.8377671241760254,0.7220873236656189,0.09796616435050964,1e-04,0.9226256012916565,0.8818482756614685,0.8131853938102722,0.6892908811569214,0.14981600642204285,0.856895923614502,0.876006007194519
11,0.836529016494751,0.7202549576759338,0.10006705671548843,1e-04,0.9214789867401123,0.8775196671485901,0.8103944063186646,0.6844157576560974,0.13401134312152863,0.8649551868438721,0.8891976475715637
12,0.8567139506340027,0.7504465579986572,0.08453801274299622,1e-05,0.9392290711402893,0.8922741413116455,0.83747398853302,0.7223242521286011,0.1046939566731453,0.9121084213256836,0.8772732019424438
13,0.8703696727752686,0.7714056968688965,0.07480954378843307,1e-05,0.9401847124099731,0.9132215976715088,0.8382357358932495,0.7234686613082886,0.1051015555858612,0.9094803333282471,0.8799128532409668
14,0.8755022883415222,0.779433012008667,0.07165063172578812,1e-05,0.9421944618225098,0.918177604675293,0.839971125125885,0.7260569334030151,0.10583679378032684,0.9052780270576477,0.8838995695114136
15,0.8792835474014282,0.7853913307189941,0.06923218071460724,1e-05,0.9439511299133301,0.9216704964637756,0.8414775133132935,0.7283197045326233,0.10692508518695831,0.9022775292396545,0.8862959742546082
16,0.8826282620429993,0.7906951904296875,0.06707890331745148,1e-05,0.9455013871192932,0.9246610999107361,0.8427248001098633,0.7301973700523376,0.10820776224136353,0.9001468420028687,0.8878530859947205
17,0.885791540145874,0.795741617679596,0.06506012380123138,1e-05,0.9469560384750366,0.9273529052734375,0.8438173532485962,0.7318369746208191,0.10951103270053864,0.8989992737770081,0.8884862065315247
