,Image Name,Acc,F1,Jaccard,Recall,Precision
0,ISIC-2017_Training_Data\ISIC_0011224.jpg,0.9569116709183674,0.9024544306081934,0.8222478007070624,0.8240771259063941,0.9973075388911049
1,ISIC-2017_Training_Data\ISIC_0012768.jpg,0.8824338329081632,0.5534105534105533,0.38256227758007116,0.38256227758007116,1.0
2,ISIC-2017_Training_Data\ISIC_0013921.jpg,0.995475924744898,0.9306022623051056,0.8702115494568324,0.9775208734746307,0.8879813302217037
3,ISIC-2017_Training_Data\ISIC_0011079.jpg,0.9635483099489796,0.9613163850172375,0.9255141519038892,0.9740270872621293,0.9489331496095871
4,ISIC-2017_Training_Data\ISIC_0014537.jpg,0.9563735650510204,0.8920771089089385,0.8051797792808829,0.8262855055256187,0.9692521962716949
5,ISIC-2017_Training_Data\ISIC_0010330.jpg,0.7980907206632653,0.7704854896807957,0.6266583136792453,1.0,0.6266583136792453
6,ISIC-2017_Training_Data\ISIC_0014726.jpg,0.9532246492346939,0.9411705727534779,0.8888783675015387,0.908756474175904,0.9759825327510917
7,ISIC-2017_Training_Data\ISIC_0010864.jpg,0.9900550063775511,0.9690696088762165,0.93999518999519,0.9804339646306284,0.9579656862745098
8,ISIC-2017_Training_Data\ISIC_0000481.jpg,0.9215760522959183,0.9413762793677279,0.8892454051619804,0.9184035347809657,0.9655277794755822
9,ISIC-2017_Training_Data\ISIC_0000258.jpg,0.9270766900510204,0.926225376534871,0.8625882529668019,0.8642760385310054,0.9977411928239434
10,ISIC-2017_Training_Data\ISIC_0013896.jpg,0.9880022321428571,0.9295906432748537,0.8684440559440559,0.8992984838198688,0.961994674412975
11,ISIC-2017_Training_Data\ISIC_0009583.jpg,0.9936025191326531,0.9299279633267845,0.8690330477356181,0.8904682274247492,0.9730470534490635
12,ISIC-2017_Training_Data\ISIC_0000433.jpg,0.8830516581632653,0.8864287373229078,0.7960233592880979,0.7961340564594632,0.9998253580160671
13,ISIC-2017_Training_Data\ISIC_0010337.jpg,0.9616151147959183,0.8901938426453819,0.8021165108394123,0.8059254671208836,0.9941423659747867
14,ISIC-2017_Training_Data\ISIC_0009885.jpg,0.9957549426020408,0.9627687467226009,0.9282103134479271,0.9532710280373832,0.972457627118644
15,ISIC-2017_Training_Data\ISIC_0014680.jpg,0.9775789221938775,0.9510038761377988,0.9065847380220875,0.9791928251121076,0.9243925154516975
16,ISIC-2017_Training_Data\ISIC_0011211.jpg,0.9876235650510204,0.9840650740294065,0.9686300262679329,0.9945023598361081,0.9738445911630269
17,ISIC-2017_Training_Data\ISIC_0014714.jpg,0.9536033163265306,0.9669214811446758,0.9359612686710863,0.9996180739173864,0.936296092460099
18,ISIC-2017_Training_Data\ISIC_0010215.jpg,0.9582270408163265,0.8901697757283588,0.8020774315391879,0.8020774315391879,1.0
19,ISIC-2017_Training_Data\ISIC_0000372.jpg,0.9617944834183674,0.9265207558741232,0.8631007641219739,0.8632857142857143,0.9997518405161717
20,ISIC-2017_Training_Data\ISIC_0013430.jpg,0.9942004145408163,0.9542380877496461,0.9124812030075188,0.947236965344989,0.9613434727503168
21,ISIC-2017_Training_Data\ISIC_0000138.jpg,0.9689692283163265,0.9103058931966128,0.8353774582364136,1.0,0.8353774582364136
22,ISIC-2017_Training_Data\ISIC_0012503.jpg,0.9952965561224489,0.951179147703765,0.9069033530571992,0.9782978723404255,0.9255233494363929
23,ISIC-2017_Training_Data\ISIC_0011382.jpg,0.9735331632653061,0.9569166882948351,0.9173923861657128,0.973336853220697,0.94104134762634
24,ISIC-2017_Training_Data\ISIC_0011117.jpg,0.6821189413265306,0.47474148718961995,0.31125313066758786,0.31125313066758786,1.0
25,ISIC-2017_Training_Data\ISIC_0014582.jpg,0.840202487244898,0.4282658300057045,0.2724798112693948,0.2724798112693948,1.0
26,ISIC-2017_Training_Data\ISIC_0010016.jpg,0.9950972576530612,0.9617418351477449,0.926303175554224,0.9741650913673598,0.9496314496314496
27,ISIC-2017_Training_Data\ISIC_0000543.jpg,0.9500956632653061,0.9187751394835864,0.8497539901596064,1.0,0.8497539901596064
28,ISIC-2017_Training_Data\ISIC_0000500.jpg,0.9627710459183674,0.9026474880133416,0.8225683890577508,0.8225683890577508,1.0
29,ISIC-2017_Training_Data\ISIC_0013561.jpg,0.984016262755102,0.8974948875255623,0.8140505448643636,0.9704256495301271,0.8347598668568711
30,ISIC-2017_Training_Data\ISIC_0013670.jpg,0.9987045599489796,0.9472830494728305,0.8998459167950693,0.9915110356536503,0.906832298136646
31,ISIC-2017_Training_Data\ISIC_0013032.jpg,0.9958745216836735,0.957169459962756,0.9178571428571428,0.932285368802902,0.9834183673469388
32,ISIC-2017_Training_Data\ISIC_0009955.jpg,0.9011878188775511,0.6092370744010088,0.43805961691034795,0.43805961691034795,1.0
33,ISIC-2017_Training_Data\ISIC_0010371.jpg,0.9823222257653061,0.9573373094127267,0.9181658824614817,0.982137570314813,0.9337586789266279
34,ISIC-2017_Training_Data\ISIC_0010025.jpg,0.9844746492346939,0.9496997481758894,0.9042173859584409,0.9067817509247842,0.9968822014368984
35,ISIC-2017_Training_Data\ISIC_0010231.jpg,0.8676259566326531,0.8682822353547773,0.7672250648349338,0.7672250648349338,1.0
36,ISIC-2017_Training_Data\ISIC_0012489.jpg,0.9434390943877551,0.7259030326443886,0.5697392359005458,0.5740033603177027,0.9871289729445758
37,ISIC-2017_Training_Data\ISIC_0000503.jpg,0.9811463647959183,0.9606358189081226,0.9242533429417887,0.9970631424375918,0.9267763950220795
